benevole_id;prenom;nom;age;commune;email;telephone;dispo_vendredi;dispo_samedi;dispo_dimanche;editions_precedentes;PSC1_ou_samaritain;permis_B;vehicule;vehicule_4x4;apte_marche_montagne;pratique_trail;langues;roles_preferes;accepte_nuit;accepte_chef_de_poste;binome_souhaite;accompagnants;contraintes;commentaire_libre
B001;Marc;Saudan;22;Villeneuve;marc.saudan@example.org;+41 79 683 39 18;13:00-19:30;06:00-24:00;;0;False;True;True;True;True;True;FR,DE,EN;pc_course;True;False;;0;;
B002;Sophie;Bochatay;61;Morgins;sophie.bochatay@example.org;+41 79 904 91 60;;06:00-24:00;13:00-18:00;1;False;True;True;False;False;False;DE,EN;arrivee;True;False;;0;;Je peux apporter mon barnum 3x3 si besoin.
B003;Nicolas;Mariétan;27;Thonon (FR);nicolas.mariétan@example.org;+41 79 883 45 66;;08:00-18:00;;0;False;False;False;False;True;False;FR,DE;parking,pointage,restauration;True;False;;0;;Première fois, mettez-moi où vous voulez.
B004;Laura;Défago;64;Morgins;laura.défago@example.org;+41 79 452 39 79;;06:00-12:00;;0;False;True;False;False;True;False;FR,DE;dossards,serre_file;True;False;;0;;
B005;Thomas;Gex-Fabry;61;Monthey;thomas.gexfabry@example.org;+41 79 614 59 53;;12:00-24:00;;0;False;True;False;False;True;True;DE,EN;arrivee,ravitaillement;True;False;B006;0;;
B006;Camille;Vannay;27;Évian (FR);camille.vannay@example.org;+41 79 300 28 32;;12:00-24:00;;0;False;True;True;True;True;False;FR,EN;pointage,serre_file,signaleur;True;False;B005;0;;Première fois, mettez-moi où vous voulez.
B007;David;Fornay;67;Morgins;david.fornay@example.org;+41 79 784 63 50;;10:00-20:00;;0;False;True;True;False;False;False;FR,EN;serre_file;False;False;;0;;
B008;Emma;Morisod;43;Vouvry;emma.morisod@example.org;+41 79 252 49 74;;08:00-18:00;;8;False;True;True;False;True;True;FR;arrivee,logistique,signaleur;False;True;;3;;Je viens avec 3 personnes, on prend un ravito ensemble.
B009;Yann;Clerc;55;Troistorrents;yann.clerc@example.org;+41 79 458 88 17;;06:00-24:00;00:00-01:00,13:00-18:00;8;False;True;True;True;True;False;DE,EN;arrivee,logistique,serre_file;True;True;;2;;Je viens avec 2 personnes, on prend un ravito ensemble.
B010;Léa;Bressoud;71;Val-d'Illiez;lea.bressoud@example.org;+41 79 675 44 95;;06:00-24:00;;3;True;True;True;False;False;False;FR,IT;serre_file;True;True;;2;;Je viens avec 2 personnes, on prend un ravito ensemble.
B011;Fabien;Bender;52;Villeneuve;fabien.bender@example.org;+41 79 458 63 16;13:00-19:00;06:00-24:00;13:00-18:00;0;False;True;True;False;True;True;FR;pc_course,restauration,serre_file;False;False;;0;;
B012;Anne;Perrin;24;Le Bouveret;anne.perrin@example.org;+41 79 940 26 79;13:00-19:30;;13:00-18:00;2;False;False;False;False;False;True;FR,DE;dossards,restauration;True;True;;3;;Je viens avec 3 personnes, on prend un ravito ensemble.
B013;Cédric;Chevalley;38;Val-d'Illiez;cedric.chevalley@example.org;+41 79 410 94 65;;12:00-24:00;;0;True;True;True;False;True;False;FR,DE;parking,serre_file,signaleur;True;False;B014;0;;
B014;Marion;Trombert;36;Martigny;marion.trombert@example.org;+41 79 289 35 40;;12:00-24:00;;5;False;False;False;False;False;True;FR,DE;dossards;True;False;B013;0;;
B015;Loïc;Trombert;19;Saint-Gingolph;loic.trombert@example.org;+41 79 313 15 75;;06:00-12:00;;8;False;True;True;True;False;True;FR;logistique;True;True;;0;;J'ai un chien, est-ce que je peux le prendre au ravito ?
B016;Chloé;Clerc;36;Monthey;chloe.clerc@example.org;+41 79 807 11 27;;06:00-13:00;13:00-18:00;0;True;True;True;False;False;False;FR,EN;parking;True;False;;0;;
B017;Steve;Saudan;27;Aigle;steve.saudan@example.org;+41 79 228 50 83;14:00-19:30;06:00-24:00;;0;False;True;True;False;True;False;FR,EN;arrivee,logistique,pointage;True;False;;0;;
B018;Aurélie;Derivaz;64;Monthey;aurelie.derivaz@example.org;+41 79 221 91 34;;10:00-20:00;;2;False;True;True;True;True;False;FR,EN;arrivee,parking,restauration;True;True;;0;;
B019;Jonas;Fellay;71;Monthey;jonas.fellay@example.org;+41 79 938 25 54;14:00-19:30;06:00-24:00;;3;True;True;True;False;True;False;FR,DE;pointage;True;True;;0;;
B020;Manon;Rey-Bellet;38;Vouvry;manon.reybellet@example.org;+41 79 841 82 37;;06:00-13:00;13:00-18:00;2;False;True;True;False;True;False;FR,DE;logistique,parking,serre_file;True;False;;0;;OK pour la nuit si on me ramène au Bouveret après.
B021;Vincent;Mariétan;52;Vionnaz;vincent.mariétan@example.org;+41 79 247 99 37;;06:00-24:00;00:00-01:00,13:00-18:00;0;True;True;True;False;True;True;FR,DE,EN;logistique;False;False;;0;;
B022;Sarah;Bressoud;29;Monthey;sarah.bressoud@example.org;+41 79 752 49 28;;12:00-24:00;00:00-01:00;0;True;True;False;False;True;True;FR,DE,EN;parking,signaleur;False;False;;0;;
B023;Kevin;Berrut;29;Vouvry;kevin.berrut@example.org;+41 79 464 49 41;;08:00-18:00;;1;False;True;True;False;True;False;FR,DE,EN;arrivee;True;False;;0;;
B024;Elodie;Vuadens;36;Évian (FR);elodie.vuadens@example.org;+41 79 242 14 49;;12:00-24:00;;0;True;True;True;False;False;False;FR,DE;dossards,restauration;True;False;;0;;
B025;Sébastien;Derivaz;55;Champéry;sebastien.derivaz@example.org;+41 79 631 85 82;;08:00-18:00;;3;False;True;True;False;False;False;FR,DE;serre_file;False;True;;0;;
B026;Nadia;Monnay;17;Évian (FR);nadia.monnay@example.org;+41 79 698 28 97;;15:00-24:00;00:00-01:00;0;True;False;False;False;True;False;FR,DE,EN;parking,pc_course,restauration;False;False;;0;;
B027;Grégory;Vannay;19;Thonon (FR);gregory.vannay@example.org;+41 79 961 94 83;;12:00-24:00;;1;True;True;False;False;False;False;FR;logistique,restauration,serre_file;True;False;;0;;
B028;Isabelle;Zufferey;27;Saint-Gingolph;isabelle.zufferey@example.org;+41 79 521 79 68;;15:00-24:00;00:00-01:00;1;False;True;True;False;True;True;DE,EN;logistique,pc_course;True;False;;0;;
B029;Mathieu;Trombert;61;Martigny;mathieu.trombert@example.org;+41 79 796 78 94;;07:00-14:00;;3;True;True;True;False;True;False;FR,EN;pc_course,pointage,ravitaillement;True;True;;0;;
