Prénom et nom;Téléphone;Quand je suis libre;Ce que je sais faire;Ce que je voudrais faire;Remarques;_id_verite
Marc Saudan;+41 79 480 58 82;samedi 10h-20h;samaritain, randonneur, je fais du trail, 5 édition(s) comme bénévole;idéalement le PC course, je peux tenir un poste;Je viens avec 3 personnes, on prend un ravito ensemble.;B001
Sophie Bochatay;+41 79 127 39 91;Je suis libre samedi 15h-minuit;permis, j'ai une voiture, je fais du trail;plutôt l'arrivée ou les dossards ou le pointage;Je peux apporter mon barnum 3x3 si besoin.;B002
Nicolas Vuadens;+41 79 700 68 45;vendredi de 14h à 19h30 et samedi toute la journée;je fais du trail, langues : italien, 8 édition(s) comme bénévole;plutôt le parking ou le repas;;B003
Laura Rouiller;+41 79 975 88 41;samedi entre 17h et minuit, dimanche 13h-18h;permis, j'ai une voiture, je marche bien en montagne, je fais du trail, langues : allemand, j'ai déjà fait les ravitos;idéalement la logistique ou serre-file, ok pour être responsable de poste;Je viens avec 2 personnes, on prend un ravito ensemble.;B004
Thomas Gex-Fabry;+41 79 614 59 53;samedi de 12h à minuit;permis, je fais du trail, langues : allemand,anglais;idéalement l'arrivée ou ravito, avec Camille Vannay;;B005
Camille Vannay;+41 79 364 75 11;samedi 12h-minuit;j'ai le PSC1, randonneur, langues : anglais, 5 édition(s) comme bénévole;idéalement l'arrivée ou la logistique ou serre-file, je veux être avec Thomas Gex-Fabry svp, je ne fais pas la nuit;;B006
David Chevalley;+41 79 719 67 33;vendredi entre 14h et 19h30, samedi du matin jusqu'à minuit;formation premiers secours à jour, randonneur, je fais du trail, langues : allemand,anglais, déjà bénévole 3 fois;plutôt le parking ou le pointage;;B007
Emma Monnay;+41 79 252 49 74;samedi entre 6h et 13h, dimanche entre 13h et 18h;permis, j'ai une voiture, randonneur, je fais du trail, déjà bénévole 2 fois;idéalement l'arrivée ou la logistique ou signaleur sur la route, je ne fais pas la nuit, ok pour être responsable de poste;Je viens avec 2 personnes, on prend un ravito ensemble.;B008
Yann Clerc;+41 79 287 43 54;samedi 10h-20h;permis, véhiculé, trailer (plusieurs ultras), langues : allemand,anglais;le pointage, pas la nuit;J'ai un chien, est-ce que je peux le prendre au ravito ?;B009
Léa Pittet;+41 79 768 61 81;Je suis libre samedi de 7h à 14h;permis, j'ai une voiture, je marche bien en montagne, trailer (plusieurs ultras), langues : allemand, j'ai déjà fait les ravitos;la logistique;;B010
